Maintainer username,Maintainer name,Total dependencies maintained,Goal progress,Goal description,Total sponsors,Total organization sponsors,Sponsorship amount in USD
django,Django,2,,,158,26,
cscott,C. Scott Ananian,2,,,3,2,
RIAEvangelist,Brandon Nozaki Miller,2,30,10 monthly sponsors,3,2,
mmalecki,Maciej Małecki,2,,,1,1,
python-trio,,2,,,4,3,
pallets,Pallets,2,,,45,11,
lpinca,Luigi Pinca,1,,,9,7,
abetomo,Abe Tomoaki,1,70,10 monthly sponsors,7,6,
axios,,1,83,30 monthly sponsors,29,10,
kossnocorp,Sasha Koss,1,,,13,9,
piotr-oles,Piotr Oleś,1,,,1,1,
d-fischer,Daniel Fischer,1,17,$300 per month,10,5,
ethers-io,,1,,,7,1,
Methuselah96,Nathan Bierema,1,,,6,4,
jdeniau,Julien Deniau,1,2,$100 per month,3,3,
lupomontero,Lupo Montero,1,,,4,4,
jantimon,Jan Nicklas,1,,,0,0,
FezVrasta,Federico Zivolo,1,60,10 monthly sponsors,6,4,
knsv,Knut Sveidqvist,1,,,8,5,
sidharthv96,Sidharth Vinod,1,,,8,2,
vitest-dev,Vitest,1,,,18,5,
patak-dev,patak,1,,,27,6,
hipstersmoothie,Andrew Lisowski,1,,,4,4,
omnidan,Daniel Bugl,1,6,$100 per month,6,5,
avoidwork,Jason Mulligan,1,,,4,4,
pmmmwh,Michael Mok,1,20,$50 per month,2,2,
tabrindle,Trevor Brindle,1,30,10 monthly sponsors,3,3,
jpmonette,JeanPhilippe Monette,1,,,0,0,
RubenVerborgh,Ruben Verborgh,1,5,$500 per month,10,4,
cenk1cenk2,Cenk Kılıç,1,,,2,2,
preactjs,Preact,1,36,50 monthly sponsors,18,6,
iamkun,,1,,,15,10,
changesets,,1,,,2,1,
jaredLunde,Jared Lunde,1,,,0,0,
cure53,Cure53,1,,,6,3,
ardatan,Arda TANRIKULU,1,12,50 monthly sponsors,7,4,
Emiyaaaaa,Haozheng Li,1,,,1,1,
skarab42,Sébastien Mischler,1,1,4242 monthly sponsors,5,5,
colinhacks,Colin McDonnell,1,77,100 monthly sponsors,78,32,
antonk52,Anton Kastritskii,1,,,3,3,
react-navigation,React Navigation,1,,,16,3,
eps1lon,"Sebastian ""Sebbie"" Silbermann",1,,,4,4,
jspm,JSPM,1,1,"$2,000 per month",3,2,
joshuaellis,Josh,1,20,10 monthly sponsors,2,2,
Kilian,Kilian Valkhof,1,,,5,5,
gustavohenke,Gustavo Henke,1,3,$300 per month,3,3,
paescuj,Pascal Jufer,1,1,$200 per month,2,2,
Siilwyn,Selwyn,1,,,3,3,
nodkz,Paul Damnhorns,1,,,2,2,
lancedikson,Denis Demchenko,1,,,2,2,
mochajs,Mocha,1,,,0,0,
davidkpiano,David Khourshid,1,,,4,4,
octref,Pine,1,,,10,4,
0x80,Thijs Koerselman,1,,,2,2,
mightyiam,"Shahar ""Dawn"" Or",1,10,$200 per month,3,2,
piotrwitek,Piotr Witek,1,,,1,1,
react-hook-form,React Hook Form,1,,,6,4,
jorisre,Joris,1,40,5 monthly sponsors,2,2,
bluebill1049,Beier (Bill),1,24,50 monthly sponsors,12,5,
kotarella1110,Kotaro Sugawara,1,,,6,3,
Moshyfawn,moshyfawn,1,2,$40 per month,2,2,
rumpl,Djordje Lukic,1,,,1,0,
johnnyreilly,John Reilly,1,30,10 monthly sponsors,3,3,
danielbarion,Daniel Barion,1,20,10 monthly sponsors,3,2,
gabrieljablonski,Gabriel Jablonski,1,,,1,0,
TkDodo,Dominik Dorfmeister,1,76,64 monthly sponsors,49,8,
conorhastings,Conor Hastings,1,40,10 monthly sponsors,4,4,
danvk,Dan Vanderkam,1,0,$15 per month,0,0,
mmaietta,Mike Maietta,1,,,1,1,
Caligatio,Brian Turek,1,,,0,0,
twbs,Bootstrap,1,,,9,3,
faisalman,Faisal Salman,1,1,"$2,500 per month",3,3,
btd,Denis Bardadym,1,20,$5 per month,2,2,
ZeeCoder,Viktor Hubert,1,20,10 monthly sponsors,2,2,
ds300,David Sheldrick,1,19,26 monthly sponsors,5,2,
pimterry,Tim Perry,1,,,5,3,
PatrickJS,,1,30,10 monthly sponsors,3,3,
remcohaszing,Remco Haszing,1,35,20 monthly sponsors,7,2,
knownasilya,Ilya Radchenko,1,,,4,3,
dannyhw,Daniel Williams,1,20,5 monthly sponsors,1,0,
KaTeX,,1,,,4,2,
thetutlage,Harminder Virk,1,17,"$8,000 per month",40,14,
kamijin-fanta,kamijin_fanta,1,,,3,3,
mrdoob,,1,,,39,6,
gkjohnson,Garrett Johnson,1,,,18,5,
WestLangley,,1,,,4,2,
donmccurdy,Don McCurdy,1,,,12,4,
HumanInteractive,Human Interactive,1,,,5,2,
muan,MuAn Chiou,1,1,413 monthly sponsors,2,0,
oblador,Joel Arvidsson,1,,,8,1,
janicduplessis,Janic Duplessis,1,,,2,1,
panva,Filip Skokan,1,,,26,9,
wheresrhys,Rhys Evans,1,0,10 monthly sponsors,0,0,
thetarnav,Damian Tarnawski,1,2,$400 per month,1,0,
pdubroy,Patrick Dubroy,1,4,25 monthly sponsors,1,0,
brc-dd,Divyansh Singh,1,40,10 monthly sponsors,4,1,
enisdenjo,Denis Badurina,1,,,5,4,
char0n,Vladimír Gorej,1,1,$800 per month,1,0,
michaellzc,Michael Lin,1,,,4,4,
jorgebucaran,Jorge Bucaran,1,58,12 monthly sponsors,7,4,
jxnblk,Brent Jackson,1,,,4,3,
litejs,LiteJS,1,,,2,2,
lauriro,Lauri Rooden,1,,,4,4,
Leonidas-from-XIV,Marek Kubica,1,30,10 monthly sponsors,3,3,
tscanlin,Tim Scanlin,1,20,10 monthly sponsors,2,2,
krisk,Kiro Risk,1,70,10 monthly sponsors,7,4,
7rulnik,Valentin Semirulnik,1,3,$100 per month,3,3,
